iter	Logloss
0	0.6414123308
1	0.6066676846
2	0.569067418
3	0.5485212823
4	0.5350198815
5	0.5219701553
6	0.512253491
7	0.5026069955
8	0.4947986071
9	0.4891200417
10	0.4816366194
11	0.4786593525
12	0.4740108176
13	0.4691919784
14	0.4658881207
15	0.463377668
16	0.4609570117
17	0.4588903326
18	0.4540485895
19	0.4497108034
20	0.4474562562
21	0.4442336338
22	0.4417443044
23	0.4404689908
24	0.4394787722
25	0.4374209075
26	0.4366641091
27	0.435709717
28	0.4347878207
29	0.4339843866
30	0.4330809364
31	0.4319299611
32	0.4306948292
33	0.4294790588
34	0.4268561822
35	0.4255071348
36	0.4240814072
37	0.42276634
38	0.42214945
39	0.4213830975
40	0.4204988086
41	0.4186109473
42	0.4178949872
43	0.4169323035
44	0.4160357221
45	0.4154018143
46	0.4145102135
47	0.4130826064
48	0.4119762512
49	0.4112046489
50	0.4093927825
51	0.4074791427
52	0.4067093336
53	0.4059995387
54	0.4051019955
55	0.4046792025
56	0.4037817355
57	0.4026831413
58	0.4019187683
59	0.4014109724
60	0.4010199635
61	0.4005422801
62	0.400116015
63	0.3992443439
64	0.3987224592
65	0.3983014772
66	0.3980711455
67	0.3971610383
68	0.3963038662
69	0.395764066
70	0.3951396137
71	0.3943619587
72	0.3936311889
73	0.3931137329
74	0.3925911134
75	0.3921066544
76	0.3915087833
77	0.3910915749
78	0.3905873361
79	0.3900414388
80	0.3896318565
81	0.3891638721
82	0.3886078195
83	0.3883270725
84	0.3878224551
85	0.3874135871
86	0.3869798636
87	0.386611774
88	0.3861916163
89	0.3858791838
90	0.3854002676
91	0.3850388493
92	0.3846553372
93	0.384171261
94	0.383851394
95	0.3830946557
96	0.3827338038
97	0.3823808343
98	0.3819569325
99	0.3817208455
100	0.3812604962
101	0.3809455097
102	0.3804833364
103	0.3802160899
104	0.3798449966
105	0.3792637335
106	0.3788986378
107	0.3786873435
108	0.3783509581
109	0.3781467133
110	0.3777539811
111	0.377450184
112	0.3771372154
113	0.3769204626
114	0.3766215676
115	0.3760945786
116	0.3757859238
117	0.3753716152
118	0.3749140173
119	0.3746242562
120	0.3743987543
121	0.3741694322
122	0.3738772825
123	0.373606064
124	0.3729661638
125	0.3727109735
126	0.3723951602
127	0.3721081024
128	0.3718540113
129	0.3713607606
130	0.3710582348
131	0.3707863757
132	0.370413358
133	0.3701241521
134	0.3697541487
135	0.3694280642
136	0.3691318215
137	0.3688987035
138	0.3686391145
139	0.3682271344
140	0.3679600111
141	0.3676682054
142	0.3673641559
143	0.3671236631
144	0.366875571
145	0.3665333593
146	0.3661150974
147	0.3659079092
148	0.3655952019
149	0.3654934667
150	0.3651286316
151	0.3649591633
152	0.3645860574
153	0.3643716362
154	0.3641377394
155	0.3638529367
156	0.3636174296
157	0.3633983441
158	0.3632016819
159	0.3630091236
160	0.3628404402
161	0.3625192715
162	0.3622381522
163	0.3620265988
164	0.3614655221
165	0.3611661156
166	0.3609191023
167	0.3606362972
168	0.3603807569
169	0.3601013935
170	0.3599232228
171	0.3596587611
172	0.3593151718
173	0.3586460731
174	0.3583939007
175	0.3580475901
176	0.3576692548
177	0.3574000711
178	0.3572119646
179	0.3567858104
180	0.3565171629
181	0.3562484793
182	0.3560585702
183	0.3559094828
184	0.3556344015
185	0.3551901695
186	0.3548883074
187	0.3546860302
188	0.3545598613
189	0.3540960218
190	0.3539598694
191	0.3537238847
192	0.353494311
193	0.3533482124
194	0.3530924717
195	0.3529825548
196	0.3526427624
197	0.3524998731
198	0.352180147
199	0.3519854722
200	0.3516930542
201	0.3514735525
202	0.3511500336
203	0.350995631
204	0.3505167265
205	0.3502680411
206	0.349977772
207	0.3498153265
208	0.3496106441
209	0.3493703336
210	0.3490431989
211	0.3488178497
212	0.3485052578
213	0.3482021179
214	0.3479394302
215	0.3477142475
216	0.3475081498
217	0.3474198821
218	0.3472351406
219	0.3471129557
220	0.3468733405
221	0.3466137142
222	0.3463591903
223	0.3461737111
224	0.3460748054
225	0.345893618
226	0.3456525179
227	0.3453765013
228	0.3451638877
229	0.3445033379
230	0.3443491152
231	0.3441092549
232	0.3438602805
233	0.3437137285
234	0.3434509631
235	0.3433091405
236	0.3431848755
237	0.3430233361
238	0.3428896711
239	0.342834297
240	0.3426506154
241	0.342468007
242	0.342191845
243	0.3420696117
244	0.3416890237
245	0.3415307971
246	0.3413365813
247	0.3411286002
248	0.3409303935
249	0.3406331067
250	0.3404468149
251	0.3403515369
252	0.3402030935
253	0.3400362469
254	0.3399026689
255	0.339702464
256	0.3395112844
257	0.3393335289
258	0.3392180204
259	0.3390245604
260	0.3389276127
261	0.3388331297
262	0.3387413722
263	0.3385014324
264	0.3383371515
265	0.3381228497
266	0.3379651133
267	0.3377912959
268	0.3376415574
269	0.3375374989
270	0.3373258007
271	0.3371234323
272	0.3368995218
273	0.3366235668
274	0.3363847565
275	0.3362206639
276	0.3360020874
277	0.3358261137
278	0.3356869993
279	0.3354361659
280	0.3352011428
281	0.3350597144
282	0.334777617
283	0.3345693627
284	0.3343421441
285	0.3339266815
286	0.3338110203
287	0.3336101242
288	0.3334002405
289	0.3331959537
290	0.3328972528
291	0.3327659965
292	0.3325185196
293	0.3322760756
294	0.3321471833
295	0.3319179951
296	0.3317469349
297	0.3315651858
298	0.3313804061
299	0.3313050128
300	0.3311725031
301	0.3309973608
302	0.3308443713
303	0.3306650051
304	0.3304447601
305	0.3302526654
306	0.3301094727
307	0.3299141525
308	0.3297204087
309	0.3295954881
310	0.3291951689
311	0.3290710556
312	0.328798919
313	0.328599696
314	0.3283851241
315	0.3281257283
316	0.3279210589
317	0.3276816967
318	0.3275722339
319	0.3274126284
320	0.3271353454
321	0.3270234965
322	0.3268746945
323	0.3267183748
324	0.3265101353
325	0.3263144404
326	0.3260107605
327	0.3258368713
328	0.3256254396
329	0.3254204477
330	0.325217739
331	0.3250919385
332	0.3249038452
333	0.32472615
334	0.3246263106
335	0.3244118113
336	0.3242703749
337	0.3239963516
338	0.3238752851
339	0.32370134
340	0.3235483643
341	0.3231651832
342	0.3229628948
343	0.3225706093
344	0.3224328161
345	0.3222646554
346	0.3220553992
347	0.321922911
348	0.3217559744
349	0.321505487
350	0.3213561809
351	0.3212403074
352	0.3210186186
353	0.3208540636
354	0.320426518
355	0.3203179577
356	0.3202146639
357	0.31997403
358	0.3198464042
359	0.319726311
360	0.3196024377
361	0.3194486168
362	0.3193612684
363	0.3191497703
364	0.318949493
365	0.3188587649
366	0.3187892985
367	0.3185902508
368	0.3184431019
369	0.3182482943
370	0.3180721673
371	0.3179201588
372	0.3178113439
373	0.3176787977
374	0.3175291065
375	0.3173058973
376	0.3171209669
377	0.3169822555
378	0.3168267048
379	0.3167309625
380	0.3166426231
381	0.3164932099
382	0.3162898655
383	0.3161733056
384	0.3160046735
385	0.3159095814
386	0.3158544194
387	0.3156208629
388	0.3154155034
389	0.3152055397
