iter	Passed	Remaining
0	2	1134
1	6	1301
2	9	1247
3	13	1254
4	15	1228
5	18	1204
6	21	1188
7	24	1181
8	27	1174
9	30	1162
10	33	1153
11	36	1151
12	39	1148
13	42	1139
14	45	1133
15	48	1122
16	51	1121
17	54	1117
18	57	1119
19	60	1113
20	63	1110
21	66	1109
22	68	1098
23	71	1090
24	74	1085
25	77	1083
26	80	1081
27	83	1079
28	86	1080
29	89	1073
30	92	1072
31	95	1070
32	98	1069
33	101	1066
34	104	1062
35	107	1060
36	110	1058
37	113	1052
38	116	1045
39	119	1047
40	122	1041
41	125	1039
42	128	1036
43	131	1031
44	134	1030
45	137	1027
46	142	1041
47	146	1041
48	149	1038
49	152	1035
50	155	1032
51	158	1029
52	161	1026
53	165	1027
54	169	1032
55	173	1031
56	176	1029
57	179	1027
58	182	1023
59	185	1018
60	188	1016
61	191	1010
62	194	1007
63	197	1004
64	200	1001
65	203	1000
66	206	996
67	209	991
68	212	990
69	216	987
70	219	984
71	222	981
72	225	977
73	228	975
74	231	973
75	234	968
76	237	963
77	240	961
78	243	956
79	246	954
80	249	951
81	252	949
82	255	944
83	258	940
84	261	938
85	264	934
86	267	931
87	270	927
88	273	924
89	276	922
90	279	918
91	282	914
92	285	912
93	288	907
94	291	903
95	294	901
96	297	898
97	300	895
98	303	893
99	307	890
100	310	887
101	313	885
102	316	882
103	320	880
104	323	878
105	327	876
106	330	873
107	333	871
108	336	867
109	339	864
110	342	861
111	345	858
112	348	854
113	351	851
114	354	847
115	357	844
116	359	839
117	362	835
118	365	832
119	368	828
120	371	825
121	374	822
122	377	818
123	379	814
124	382	810
125	385	806
126	387	803
127	391	800
128	394	798
129	397	794
130	400	792
131	404	790
132	407	786
133	410	784
134	413	781
135	415	776
136	418	773
137	421	769
138	423	765
139	427	762
140	430	760
141	432	756
142	435	752
143	438	749
144	441	745
145	444	742
146	447	739
147	450	735
148	453	732
149	455	729
150	458	726
151	461	722
152	464	719
153	467	716
154	470	712
155	472	708
156	475	705
157	478	702
158	481	699
159	483	695
160	486	692
161	489	688
162	492	685
163	495	682
164	498	679
165	501	676
166	504	673
167	506	669
168	509	666
169	512	663
170	515	660
171	518	657
172	521	654
173	524	650
174	526	646
175	529	643
176	532	640
177	535	637
178	538	634
179	540	631
180	543	627
181	546	625
182	549	621
183	552	619
184	555	615
185	558	612
186	561	609
187	564	606
188	567	603
189	569	599
190	572	596
191	575	593
192	578	590
193	581	587
194	583	583
195	586	580
196	589	577
197	592	574
198	596	572
199	599	569
200	602	566
201	604	562
202	607	559
203	610	556
204	613	553
205	616	550
206	619	547
207	622	544
208	624	541
209	628	538
210	631	535
211	634	532
212	637	529
213	640	526
214	643	523
215	646	521
216	649	518
217	652	515
218	656	512
219	659	509
220	662	506
221	664	502
222	667	500
223	670	497
224	674	494
225	676	491
226	679	488
227	682	485
228	685	482
229	688	478
230	691	475
231	694	472
232	697	469
233	699	466
234	702	463
235	706	460
236	709	457
237	711	454
238	714	451
239	717	448
240	720	445
241	723	442
242	725	439
243	728	436
244	731	433
245	734	429
246	737	426
247	740	423
248	743	420
249	745	417
250	748	414
251	751	411
252	754	408
253	757	405
254	760	402
255	763	399
256	766	396
257	769	393
258	772	390
259	776	388
260	779	385
261	781	382
262	785	379
263	787	376
264	791	373
265	793	370
266	796	367
267	799	363
268	802	361
269	805	358
270	808	355
271	811	352
272	814	348
273	817	345
274	820	342
275	822	339
276	825	336
277	828	333
278	831	330
279	834	327
280	837	324
281	839	321
282	842	318
283	845	315
284	848	312
285	851	309
286	853	306
287	856	303
288	859	300
289	862	297
290	864	294
291	867	291
292	870	288
293	873	285
294	876	282
295	879	279
296	882	276
297	885	273
298	888	270
299	891	267
300	894	264
301	896	261
302	899	258
303	902	255
304	905	252
305	908	249
306	910	246
307	914	243
308	916	240
309	919	237
310	922	234
311	925	231
312	928	228
313	931	225
314	934	222
315	937	219
316	940	216
317	943	213
318	946	210
319	948	207
320	951	204
321	954	201
322	957	198
323	960	195
324	963	192
325	966	189
326	969	186
327	971	183
328	974	180
329	978	177
330	981	174
331	984	171
332	986	168
333	990	166
334	993	163
335	995	160
336	998	157
337	1002	154
338	1005	151
339	1007	148
340	1010	145
341	1013	142
342	1016	139
343	1019	136
344	1022	133
345	1025	130
346	1027	127
347	1030	124
348	1033	121
349	1036	118
350	1038	115
351	1041	112
352	1044	109
353	1047	106
354	1050	103
355	1053	100
356	1056	97
357	1059	94
358	1062	91
359	1066	88
360	1069	85
361	1071	82
362	1075	79
363	1077	76
364	1080	74
365	1083	71
366	1086	68
367	1089	65
368	1091	62
369	1094	59
370	1097	56
371	1100	53
372	1103	50
373	1106	47
374	1109	44
375	1112	41
376	1114	38
377	1118	35
378	1120	32
379	1123	29
380	1126	26
381	1129	23
382	1132	20
383	1135	17
384	1137	14
385	1140	11
386	1143	8
387	1146	5
388	1149	2
389	1152	0
